Index,DTE,Avg_Coverage_Premium_Percent,Spot_Close,Average_Premium
Nifty,0,0.63,25910.05,163.23
Sensex,0,0.60,84750.50,508.50
Bank Nifty,0,0.63,58517.55,368.66
Nifty,1,1.02,25910.05,264.28
Sensex,1,0.95,84750.50,805.12
Bank Nifty,1,1.02,58517.55,596.87
Nifty,2,1.31,25910.05,339.42
Sensex,2,1.17,84750.50,991.58
Bank Nifty,2,1.31,58517.55,766.57
Nifty,3,1.53,25910.05,396.42
Sensex,3,1.29,84750.50,1093.28
Bank Nifty,3,1.53,58517.55,895.31
Nifty,4,1.74,25910.05,450.83
Sensex,4,1.55,84750.50,1313.63
Bank Nifty,4,1.72,58517.55,1006.50
